customer,orders,revenue,active,signup_date,last_seen,notes
Gamma,19,423.65,,2024-03-12,2025-03-12T02:14:00.000000,upsell candidate
Delta,26,441.0,true,2024-04-13,2025-01-13T03:21:00.000000,new
Echo,33,458.35,false,2024-05-14,2025-02-14T04:28:00.000000,
Foxtrot,3,476.8,,2024-06-15,2025-03-15T05:35:00.000000,follow-up
Helix,10,494.15,true,2024-07-16,2025-01-16T06:42:00.000000,priority
Iota,17,511.5,false,2024-08-17,2025-02-17T07:49:00.000000,""
Acme,24,129.8,,2024-09-18,2025-03-18T08:56:00.000000,upsell candidate
Beta,31,147.15,true,2024-10-19,2025-01-19T09:03:00.000000,new
Gamma,1,165.6,false,2024-11-20,2025-02-20T10:10:00.000000,
Delta,8,182.95,,2024-12-21,2025-03-21T11:17:00.000000,follow-up
Echo,15,200.3,true,2024-01-22,2025-01-22T12:24:00.000000,priority
Foxtrot,22,217.65,false,2024-02-23,2025-02-23T13:31:00.000000,""
Helix,29,235.0,,2024-03-24,2025-03-24T14:38:00.000000,upsell candidate
Iota,36,253.45,true,2024-04-25,2025-01-25T15:45:00.000000,new
Acme,6,270.8,false,2024-05-26,2025-02-26T16:52:00.000000,
Beta,13,288.15,,2024-06-27,2025-03-27T17:59:00.000000,follow-up
Gamma,20,305.5,true,2024-07-01,2025-01-01T18:06:00.000000,priority
Delta,27,322.85,false,2024-08-02,2025-02-02T19:13:00.000000,""
Echo,34,341.3,,2024-09-03,2025-03-03T20:20:00.000000,upsell candidate
Foxtrot,4,358.65,true,2024-10-04,2025-01-04T21:27:00.000000,new
Helix,11,376.0,false,2024-11-05,2025-02-05T22:34:00.000000,
Iota,18,393.35,,2024-12-06,2025-03-06T23:41:00.000000,follow-up
Acme,25,410.7,true,2024-01-07,2025-01-07T00:48:00.000000,priority
Beta,32,429.15,false,2024-02-08,2025-02-08T01:55:00.000000,""
Gamma,2,446.5,,2024-03-09,2025-03-09T02:02:00.000000,upsell candidate
Delta,9,463.85,true,2024-04-10,2025-01-10T03:09:00.000000,new
Echo,16,481.2,false,2024-05-11,2025-02-11T04:16:00.000000,
Foxtrot,23,498.55,,2024-06-12,2025-03-12T05:23:00.000000,follow-up
Helix,30,517.0,true,2024-07-13,2025-01-13T06:30:00.000000,priority
Iota,37,135.3,false,2024-08-14,2025-02-14T07:37:00.000000,""
Acme,7,152.65,,2024-09-15,2025-03-15T08:44:00.000000,upsell candidate
Beta,14,170.0,true,2024-10-16,2025-01-16T09:51:00.000000,new
Gamma,21,187.35,false,2024-11-17,2025-02-17T10:58:00.000000,
Delta,28,205.8,,2024-12-18,2025-03-18T11:05:00.000000,follow-up
Echo,35,223.15,true,2024-01-19,2025-01-19T12:12:00.000000,priority
Foxtrot,5,240.5,false,2024-02-20,2025-02-20T13:19:00.000000,""
Helix,12,257.85,,2024-03-21,2025-03-21T14:26:00.000000,upsell candidate
Iota,19,275.2,true,2024-04-22,2025-01-22T15:33:00.000000,new
Acme,26,293.65,false,2024-05-23,2025-02-23T16:40:00.000000,
Beta,33,311.0,,2024-06-24,2025-03-24T17:47:00.000000,follow-up
Gamma,3,328.35,true,2024-07-25,2025-01-25T18:54:00.000000,priority
Delta,10,345.7,false,2024-08-26,2025-02-26T19:01:00.000000,""
Echo,17,363.05,,2024-09-27,2025-03-27T20:08:00.000000,upsell candidate
Foxtrot,24,381.5,true,2024-10-01,2025-01-01T21:15:00.000000,new
Helix,31,398.85,false,2024-11-02,2025-02-02T22:22:00.000000,
Iota,1,416.2,,2024-12-03,2025-03-03T23:29:00.000000,follow-up
Acme,8,433.55,true,2024-01-04,2025-01-04T00:36:00.000000,priority
Beta,15,450.9,false,2024-02-05,2025-02-05T01:43:00.000000,""
Gamma,22,469.35,,2024-03-06,2025-03-06T02:50:00.000000,upsell candidate
Delta,29,486.7,true,2024-04-07,2025-01-07T03:57:00.000000,new
Echo,36,504.05,false,2024-05-08,2025-02-08T04:04:00.000000,
Foxtrot,6,521.4,,2024-06-09,2025-03-09T05:11:00.000000,follow-up
Helix,13,139.7,true,2024-07-10,2025-01-10T06:18:00.000000,priority
Iota,20,158.15,false,2024-08-11,2025-02-11T07:25:00.000000,""
Acme,27,175.5,,2024-09-12,2025-03-12T08:32:00.000000,upsell candidate
Beta,34,192.85,true,2024-10-13,2025-01-13T09:39:00.000000,new
Gamma,4,210.2,false,2024-11-14,2025-02-14T10:46:00.000000,
Delta,11,227.55,,2024-12-15,2025-03-15T11:53:00.000000,follow-up
Echo,18,246.0,true,2024-01-16,2025-01-16T12:00:00.000000,priority
Foxtrot,25,263.35,false,2024-02-17,2025-02-17T13:07:00.000000,""
Helix,32,280.7,,2024-03-18,2025-03-18T14:14:00.000000,upsell candidate
Iota,2,298.05,true,2024-04-19,2025-01-19T15:21:00.000000,new
Acme,9,315.4,false,2024-05-20,2025-02-20T16:28:00.000000,
Beta,16,333.85,,2024-06-21,2025-03-21T17:35:00.000000,follow-up
Gamma,23,351.2,true,2024-07-22,2025-01-22T18:42:00.000000,priority
Delta,30,368.55,false,2024-08-23,2025-02-23T19:49:00.000000,""
Echo,37,385.9,,2024-09-24,2025-03-24T20:56:00.000000,upsell candidate
Foxtrot,7,403.25,true,2024-10-25,2025-01-25T21:03:00.000000,new
Helix,14,421.7,false,2024-11-26,2025-02-26T22:10:00.000000,
Iota,21,439.05,,2024-12-27,2025-03-27T23:17:00.000000,follow-up
Acme,28,456.4,true,2024-01-01,2025-01-01T00:24:00.000000,priority
Beta,35,473.75,false,2024-02-02,2025-02-02T01:31:00.000000,""
Gamma,5,491.1,,2024-03-03,2025-03-03T02:38:00.000000,upsell candidate
Delta,12,509.55,true,2024-04-04,2025-01-04T03:45:00.000000,new
Echo,19,526.9,false,2024-05-05,2025-02-05T04:52:00.000000,
Foxtrot,26,145.2,,2024-06-06,2025-03-06T05:59:00.000000,follow-up
Helix,33,162.55,true,2024-07-07,2025-01-07T06:06:00.000000,priority
Iota,3,179.9,false,2024-08-08,2025-02-08T07:13:00.000000,""
Acme,10,198.35,,2024-09-09,2025-03-09T08:20:00.000000,upsell candidate
Beta,17,215.7,true,2024-10-10,2025-01-10T09:27:00.000000,new
Gamma,24,233.05,false,2024-11-11,2025-02-11T10:34:00.000000,
Delta,31,250.4,,2024-12-12,2025-03-12T11:41:00.000000,follow-up
Echo,1,267.75,true,2024-01-13,2025-01-13T12:48:00.000000,priority
Foxtrot,8,286.2,false,2024-02-14,2025-02-14T13:55:00.000000,""
Helix,15,303.55,,2024-03-15,2025-03-15T14:02:00.000000,upsell candidate
Iota,22,320.9,true,2024-04-16,2025-01-16T15:09:00.000000,new
Acme,29,338.25,false,2024-05-17,2025-02-17T16:16:00.000000,
Beta,36,355.6,,2024-06-18,2025-03-18T17:23:00.000000,follow-up
Gamma,6,374.05,true,2024-07-19,2025-01-19T18:30:00.000000,priority
Delta,13,391.4,false,2024-08-20,2025-02-20T19:37:00.000000,""
Echo,20,408.75,,2024-09-21,2025-03-21T20:44:00.000000,upsell candidate
Foxtrot,27,426.1,true,2024-10-22,2025-01-22T21:51:00.000000,new
Helix,34,443.45,false,2024-11-23,2025-02-23T22:58:00.000000,
Iota,4,461.9,,2024-12-24,2025-03-24T23:05:00.000000,follow-up
Acme,11,479.25,true,2024-01-25,2025-01-25T00:12:00.000000,priority
Beta,18,496.6,false,2024-02-26,2025-02-26T01:19:00.000000,""
Gamma,25,513.95,,2024-03-27,2025-03-27T02:26:00.000000,upsell candidate
Delta,32,531.3,true,2024-04-01,2025-01-01T03:33:00.000000,new
Echo,2,150.7,false,2024-05-02,2025-02-02T04:40:00.000000,
Foxtrot,9,168.05,,2024-06-03,2025-03-03T05:47:00.000000,follow-up
Helix,16,185.4,true,2024-07-04,2025-01-04T06:54:00.000000,priority
Iota,23,202.75,false,2024-08-05,2025-02-05T07:01:00.000000,""
Acme,30,220.1,,2024-09-06,2025-03-06T08:08:00.000000,upsell candidate
Beta,37,238.55,true,2024-10-07,2025-01-07T09:15:00.000000,new
Gamma,7,255.9,false,2024-11-08,2025-02-08T10:22:00.000000,
Delta,14,273.25,,2024-12-09,2025-03-09T11:29:00.000000,follow-up
Echo,21,290.6,true,2024-01-10,2025-01-10T12:36:00.000000,priority
Foxtrot,28,307.95,false,2024-02-11,2025-02-11T13:43:00.000000,""
Helix,35,326.4,,2024-03-12,2025-03-12T14:50:00.000000,upsell candidate
Iota,5,343.75,true,2024-04-13,2025-01-13T15:57:00.000000,new
Acme,12,361.1,false,2024-05-14,2025-02-14T16:04:00.000000,
Beta,19,378.45,,2024-06-15,2025-03-15T17:11:00.000000,follow-up
Gamma,26,395.8,true,2024-07-16,2025-01-16T18:18:00.000000,priority
Delta,33,414.25,false,2024-08-17,2025-02-17T19:25:00.000000,""
Echo,3,431.6,,2024-09-18,2025-03-18T20:32:00.000000,upsell candidate
Foxtrot,10,448.95,true,2024-10-19,2025-01-19T21:39:00.000000,new
Helix,17,466.3,false,2024-11-20,2025-02-20T22:46:00.000000,
Iota,24,483.65,,2024-12-21,2025-03-21T23:53:00.000000,follow-up
Acme,31,502.1,true,2024-01-22,2025-01-22T00:00:00.000000,priority
Beta,1,519.45,false,2024-02-23,2025-02-23T01:07:00.000000,""
Gamma,8,536.8,,2024-03-24,2025-03-24T02:14:00.000000,upsell candidate
Delta,15,155.1,true,2024-04-25,2025-01-25T03:21:00.000000,new
Echo,22,172.45,false,2024-05-26,2025-02-26T04:28:00.000000,
Foxtrot,29,190.9,,2024-06-27,2025-03-27T05:35:00.000000,follow-up
Helix,36,208.25,true,2024-07-01,2025-01-01T06:42:00.000000,priority
Iota,6,225.6,false,2024-08-02,2025-02-02T07:49:00.000000,""
Acme,13,242.95,,2024-09-03,2025-03-03T08:56:00.000000,upsell candidate
Beta,20,260.3,true,2024-10-04,2025-01-04T09:03:00.000000,new
Gamma,27,278.75,false,2024-11-05,2025-02-05T10:10:00.000000,
Delta,34,296.1,,2024-12-06,2025-03-06T11:17:00.000000,follow-up
Echo,4,313.45,true,2024-01-07,2025-01-07T12:24:00.000000,priority
Foxtrot,11,330.8,false,2024-02-08,2025-02-08T13:31:00.000000,""
Helix,18,348.15,,2024-03-09,2025-03-09T14:38:00.000000,upsell candidate
Iota,25,366.6,true,2024-04-10,2025-01-10T15:45:00.000000,new
Acme,32,383.95,false,2024-05-11,2025-02-11T16:52:00.000000,
Beta,2,401.3,,2024-06-12,2025-03-12T17:59:00.000000,follow-up
Gamma,9,418.65,true,2024-07-13,2025-01-13T18:06:00.000000,priority
Delta,16,436.0,false,2024-08-14,2025-02-14T19:13:00.000000,""
Echo,23,454.45,,2024-09-15,2025-03-15T20:20:00.000000,upsell candidate
Foxtrot,30,471.8,true,2024-10-16,2025-01-16T21:27:00.000000,new
Helix,37,489.15,false,2024-11-17,2025-02-17T22:34:00.000000,
Iota,7,506.5,,2024-12-18,2025-03-18T23:41:00.000000,follow-up
Acme,14,523.85,true,2024-01-19,2025-01-19T00:48:00.000000,priority
Beta,21,542.3,false,2024-02-20,2025-02-20T01:55:00.000000,""
Gamma,28,160.6,,2024-03-21,2025-03-21T02:02:00.000000,upsell candidate
Delta,35,177.95,true,2024-04-22,2025-01-22T03:09:00.000000,new
Echo,5,195.3,false,2024-05-23,2025-02-23T04:16:00.000000,
Foxtrot,12,212.65,,2024-06-24,2025-03-24T05:23:00.000000,follow-up
Helix,19,231.1,true,2024-07-25,2025-01-25T06:30:00.000000,priority
Iota,26,248.45,false,2024-08-26,2025-02-26T07:37:00.000000,""
Acme,33,265.8,,2024-09-27,2025-03-27T08:44:00.000000,upsell candidate
Beta,3,283.15,true,2024-10-01,2025-01-01T09:51:00.000000,new
Gamma,10,300.5,false,2024-11-02,2025-02-02T10:58:00.000000,
Delta,17,318.95,,2024-12-03,2025-03-03T11:05:00.000000,follow-up
Echo,24,336.3,true,2024-01-04,2025-01-04T12:12:00.000000,priority
Foxtrot,31,353.65,false,2024-02-05,2025-02-05T13:19:00.000000,""
Helix,1,371.0,,2024-03-06,2025-03-06T14:26:00.000000,upsell candidate
Iota,8,388.35,true,2024-04-07,2025-01-07T15:33:00.000000,new
Acme,15,406.8,false,2024-05-08,2025-02-08T16:40:00.000000,
Beta,22,424.15,,2024-06-09,2025-03-09T17:47:00.000000,follow-up
Gamma,29,441.5,true,2024-07-10,2025-01-10T18:54:00.000000,priority
Delta,36,458.85,false,2024-08-11,2025-02-11T19:01:00.000000,""
Echo,6,476.2,,2024-09-12,2025-03-12T20:08:00.000000,upsell candidate
Foxtrot,13,494.65,true,2024-10-13,2025-01-13T21:15:00.000000,new
Helix,20,512.0,false,2024-11-14,2025-02-14T22:22:00.000000,
Iota,27,529.35,,2024-12-15,2025-03-15T23:29:00.000000,follow-up
Acme,34,546.7,true,2024-01-16,2025-01-16T00:36:00.000000,priority
Beta,4,165.0,false,2024-02-17,2025-02-17T01:43:00.000000,""
Gamma,11,183.45,,2024-03-18,2025-03-18T02:50:00.000000,upsell candidate
Delta,18,200.8,true,2024-04-19,2025-01-19T03:57:00.000000,new
Echo,25,218.15,false,2024-05-20,2025-02-20T04:04:00.000000,
Foxtrot,32,235.5,,2024-06-21,2025-03-21T05:11:00.000000,follow-up
Helix,2,252.85,true,2024-07-22,2025-01-22T06:18:00.000000,priority
Iota,9,271.3,false,2024-08-23,2025-02-23T07:25:00.000000,""
Acme,16,288.65,,2024-09-24,2025-03-24T08:32:00.000000,upsell candidate
Beta,23,306.0,true,2024-10-25,2025-01-25T09:39:00.000000,new
Gamma,30,323.35,false,2024-11-26,2025-02-26T10:46:00.000000,
Delta,37,340.7,,2024-12-27,2025-03-27T11:53:00.000000,follow-up
Echo,7,359.15,true,2024-01-01,2025-01-01T12:00:00.000000,priority
Foxtrot,14,376.5,false,2024-02-02,2025-02-02T13:07:00.000000,""
Helix,21,393.85,,2024-03-03,2025-03-03T14:14:00.000000,upsell candidate
Iota,28,411.2,true,2024-04-04,2025-01-04T15:21:00.000000,new
Acme,35,428.55,false,2024-05-05,2025-02-05T16:28:00.000000,
Beta,5,447.0,,2024-06-06,2025-03-06T17:35:00.000000,follow-up
Gamma,12,464.35,true,2024-07-07,2025-01-07T18:42:00.000000,priority
Delta,19,481.7,false,2024-08-08,2025-02-08T19:49:00.000000,""
Echo,26,499.05,,2024-09-09,2025-03-09T20:56:00.000000,upsell candidate
Foxtrot,33,516.4,true,2024-10-10,2025-01-10T21:03:00.000000,new
Helix,3,534.85,false,2024-11-11,2025-02-11T22:10:00.000000,
Iota,10,552.2,,2024-12-12,2025-03-12T23:17:00.000000,follow-up
Acme,17,170.5,true,2024-01-13,2025-01-13T00:24:00.000000,priority
Beta,24,187.85,false,2024-02-14,2025-02-14T01:31:00.000000,""
Gamma,31,205.2,,2024-03-15,2025-03-15T02:38:00.000000,upsell candidate
Delta,1,223.65,true,2024-04-16,2025-01-16T03:45:00.000000,new
Echo,8,241.0,false,2024-05-17,2025-02-17T04:52:00.000000,
Foxtrot,15,258.35,,2024-06-18,2025-03-18T05:59:00.000000,follow-up
Helix,22,275.7,true,2024-07-19,2025-01-19T06:06:00.000000,priority
Iota,29,293.05,false,2024-08-20,2025-02-20T07:13:00.000000,""
Acme,36,311.5,,2024-09-21,2025-03-21T08:20:00.000000,upsell candidate
Beta,6,328.85,true,2024-10-22,2025-01-22T09:27:00.000000,new
Gamma,13,346.2,false,2024-11-23,2025-02-23T10:34:00.000000,
Delta,20,363.55,,2024-12-24,2025-03-24T11:41:00.000000,follow-up
Echo,27,380.9,true,2024-01-25,2025-01-25T12:48:00.000000,priority
Foxtrot,34,399.35,false,2024-02-26,2025-02-26T13:55:00.000000,""
Helix,4,416.7,,2024-03-27,2025-03-27T14:02:00.000000,upsell candidate
Iota,11,434.05,true,2024-04-01,2025-01-01T15:09:00.000000,new
Acme,18,451.4,false,2024-05-02,2025-02-02T16:16:00.000000,
Beta,25,468.75,,2024-06-03,2025-03-03T17:23:00.000000,follow-up
Gamma,32,487.2,true,2024-07-04,2025-01-04T18:30:00.000000,priority
Delta,2,504.55,false,2024-08-05,2025-02-05T19:37:00.000000,""
Echo,9,521.9,,2024-09-06,2025-03-06T20:44:00.000000,upsell candidate
Foxtrot,16,539.25,true,2024-10-07,2025-01-07T21:51:00.000000,new
Helix,23,556.6,false,2024-11-08,2025-02-08T22:58:00.000000,
Iota,30,176.0,,2024-12-09,2025-03-09T23:05:00.000000,follow-up
Acme,37,193.35,true,2024-01-10,2025-01-10T00:12:00.000000,priority
Beta,7,210.7,false,2024-02-11,2025-02-11T01:19:00.000000,""
Gamma,14,228.05,,2024-03-12,2025-03-12T02:26:00.000000,upsell candidate
Delta,21,245.4,true,2024-04-13,2025-01-13T03:33:00.000000,new
Echo,28,263.85,false,2024-05-14,2025-02-14T04:40:00.000000,
Foxtrot,35,281.2,,2024-06-15,2025-03-15T05:47:00.000000,follow-up
Helix,5,298.55,true,2024-07-16,2025-01-16T06:54:00.000000,priority
Iota,12,315.9,false,2024-08-17,2025-02-17T07:01:00.000000,""
Acme,19,333.25,,2024-09-18,2025-03-18T08:08:00.000000,upsell candidate
Beta,26,351.7,true,2024-10-19,2025-01-19T09:15:00.000000,new
Gamma,33,369.05,false,2024-11-20,2025-02-20T10:22:00.000000,
Delta,3,386.4,,2024-12-21,2025-03-21T11:29:00.000000,follow-up
Echo,10,403.75,true,2024-01-22,2025-01-22T12:36:00.000000,priority
Foxtrot,17,421.1,false,2024-02-23,2025-02-23T13:43:00.000000,""
Helix,24,439.55,,2024-03-24,2025-03-24T14:50:00.000000,upsell candidate
Iota,31,456.9,true,2024-04-25,2025-01-25T15:57:00.000000,new
Acme,1,474.25,false,2024-05-26,2025-02-26T16:04:00.000000,
Beta,8,491.6,,2024-06-27,2025-03-27T17:11:00.000000,follow-up
Gamma,15,508.95,true,2024-07-01,2025-01-01T18:18:00.000000,priority
Delta,22,527.4,false,2024-08-02,2025-02-02T19:25:00.000000,""
Echo,29,544.75,,2024-09-03,2025-03-03T20:32:00.000000,upsell candidate
Foxtrot,36,562.1,true,2024-10-04,2025-01-04T21:39:00.000000,new
Helix,6,180.4,false,2024-11-05,2025-02-05T22:46:00.000000,
Iota,13,197.75,,2024-12-06,2025-03-06T23:53:00.000000,follow-up
Acme,20,216.2,true,2024-01-07,2025-01-07T00:00:00.000000,priority
Beta,27,233.55,false,2024-02-08,2025-02-08T01:07:00.000000,""
Gamma,34,250.9,,2024-03-09,2025-03-09T02:14:00.000000,upsell candidate
Delta,4,268.25,true,2024-04-10,2025-01-10T03:21:00.000000,new
Echo,11,285.6,false,2024-05-11,2025-02-11T04:28:00.000000,
Foxtrot,18,304.05,,2024-06-12,2025-03-12T05:35:00.000000,follow-up
Helix,25,321.4,true,2024-07-13,2025-01-13T06:42:00.000000,priority
Iota,32,338.75,false,2024-08-14,2025-02-14T07:49:00.000000,""
Acme,2,356.1,,2024-09-15,2025-03-15T08:56:00.000000,upsell candidate
Beta,9,373.45,true,2024-10-16,2025-01-16T09:03:00.000000,new
Gamma,16,391.9,false,2024-11-17,2025-02-17T10:10:00.000000,
Delta,23,409.25,,2024-12-18,2025-03-18T11:17:00.000000,follow-up
Echo,30,426.6,true,2024-01-19,2025-01-19T12:24:00.000000,priority
Foxtrot,37,443.95,false,2024-02-20,2025-02-20T13:31:00.000000,""
Helix,7,461.3,,2024-03-21,2025-03-21T14:38:00.000000,upsell candidate
Iota,14,479.75,true,2024-04-22,2025-01-22T15:45:00.000000,new
Acme,21,497.1,false,2024-05-23,2025-02-23T16:52:00.000000,
Beta,28,514.45,,2024-06-24,2025-03-24T17:59:00.000000,follow-up
Gamma,35,531.8,true,2024-07-25,2025-01-25T18:06:00.000000,priority
Delta,5,549.15,false,2024-08-26,2025-02-26T19:13:00.000000,""
Echo,12,567.6,,2024-09-27,2025-03-27T20:20:00.000000,upsell candidate
Foxtrot,19,185.9,true,2024-10-01,2025-01-01T21:27:00.000000,new
Helix,26,203.25,false,2024-11-02,2025-02-02T22:34:00.000000,
Iota,33,220.6,,2024-12-03,2025-03-03T23:41:00.000000,follow-up
Acme,3,237.95,true,2024-01-04,2025-01-04T00:48:00.000000,priority
Beta,10,256.4,false,2024-02-05,2025-02-05T01:55:00.000000,""
Gamma,17,273.75,,2024-03-06,2025-03-06T02:02:00.000000,upsell candidate
Delta,24,291.1,true,2024-04-07,2025-01-07T03:09:00.000000,new
Echo,31,308.45,false,2024-05-08,2025-02-08T04:16:00.000000,
Foxtrot,1,325.8,,2024-06-09,2025-03-09T05:23:00.000000,follow-up
Helix,8,344.25,true,2024-07-10,2025-01-10T06:30:00.000000,priority
Iota,15,361.6,false,2024-08-11,2025-02-11T07:37:00.000000,""
Acme,22,378.95,,2024-09-12,2025-03-12T08:44:00.000000,upsell candidate
Beta,29,396.3,true,2024-10-13,2025-01-13T09:51:00.000000,new
Gamma,36,413.65,false,2024-11-14,2025-02-14T10:58:00.000000,
Delta,6,432.1,,2024-12-15,2025-03-15T11:05:00.000000,follow-up
Echo,13,449.45,true,2024-01-16,2025-01-16T12:12:00.000000,priority
Foxtrot,20,466.8,false,2024-02-17,2025-02-17T13:19:00.000000,""
Helix,27,484.15,,2024-03-18,2025-03-18T14:26:00.000000,upsell candidate
Iota,34,501.5,true,2024-04-19,2025-01-19T15:33:00.000000,new
Acme,4,519.95,false,2024-05-20,2025-02-20T16:40:00.000000,
Beta,11,537.3,,2024-06-21,2025-03-21T17:47:00.000000,follow-up
Gamma,18,554.65,true,2024-07-22,2025-01-22T18:54:00.000000,priority
Delta,25,572.0,false,2024-08-23,2025-02-23T19:01:00.000000,""
Echo,32,190.3,,2024-09-24,2025-03-24T20:08:00.000000,upsell candidate
Foxtrot,2,208.75,true,2024-10-25,2025-01-25T21:15:00.000000,new
Helix,9,226.1,false,2024-11-26,2025-02-26T22:22:00.000000,
Iota,16,243.45,,2024-12-27,2025-03-27T23:29:00.000000,follow-up
Acme,23,260.8,true,2024-01-01,2025-01-01T00:36:00.000000,priority
Beta,30,278.15,false,2024-02-02,2025-02-02T01:43:00.000000,""
Gamma,37,296.6,,2024-03-03,2025-03-03T02:50:00.000000,upsell candidate
Delta,7,313.95,true,2024-04-04,2025-01-04T03:57:00.000000,new
Echo,14,331.3,false,2024-05-05,2025-02-05T04:04:00.000000,
Foxtrot,21,348.65,,2024-06-06,2025-03-06T05:11:00.000000,follow-up
Helix,28,366.0,true,2024-07-07,2025-01-07T06:18:00.000000,priority
Iota,35,384.45,false,2024-08-08,2025-02-08T07:25:00.000000,""
Acme,5,401.8,,2024-09-09,2025-03-09T08:32:00.000000,upsell candidate
Beta,12,419.15,true,2024-10-10,2025-01-10T09:39:00.000000,new
Gamma,19,436.5,false,2024-11-11,2025-02-11T10:46:00.000000,
Delta,26,453.85,,2024-12-12,2025-03-12T11:53:00.000000,follow-up
Echo,33,472.3,true,2024-01-13,2025-01-13T12:00:00.000000,priority
Foxtrot,3,489.65,false,2024-02-14,2025-02-14T13:07:00.000000,""
Helix,10,507.0,,2024-03-15,2025-03-15T14:14:00.000000,upsell candidate
Iota,17,524.35,true,2024-04-16,2025-01-16T15:21:00.000000,new
Acme,24,541.7,false,2024-05-17,2025-02-17T16:28:00.000000,
Beta,31,560.15,,2024-06-18,2025-03-18T17:35:00.000000,follow-up
Gamma,1,577.5,true,2024-07-19,2025-01-19T18:42:00.000000,priority
Delta,8,195.8,false,2024-08-20,2025-02-20T19:49:00.000000,""
Echo,15,213.15,,2024-09-21,2025-03-21T20:56:00.000000,upsell candidate
Foxtrot,22,230.5,true,2024-10-22,2025-01-22T21:03:00.000000,new
Helix,29,248.95,false,2024-11-23,2025-02-23T22:10:00.000000,
Iota,36,266.3,,2024-12-24,2025-03-24T23:17:00.000000,follow-up
Acme,6,283.65,true,2024-01-25,2025-01-25T00:24:00.000000,priority
Beta,13,301.0,false,2024-02-26,2025-02-26T01:31:00.000000,""
Gamma,20,318.35,,2024-03-27,2025-03-27T02:38:00.000000,upsell candidate
Delta,27,336.8,true,2024-04-01,2025-01-01T03:45:00.000000,new
Echo,34,354.15,false,2024-05-02,2025-02-02T04:52:00.000000,
Foxtrot,4,371.5,,2024-06-03,2025-03-03T05:59:00.000000,follow-up
Helix,11,388.85,true,2024-07-04,2025-01-04T06:06:00.000000,priority
Iota,18,406.2,false,2024-08-05,2025-02-05T07:13:00.000000,""
Acme,25,424.65,,2024-09-06,2025-03-06T08:20:00.000000,upsell candidate
Beta,32,442.0,true,2024-10-07,2025-01-07T09:27:00.000000,new
Gamma,2,459.35,false,2024-11-08,2025-02-08T10:34:00.000000,
Delta,9,476.7,,2024-12-09,2025-03-09T11:41:00.000000,follow-up
Echo,16,494.05,true,2024-01-10,2025-01-10T12:48:00.000000,priority
Foxtrot,23,512.5,false,2024-02-11,2025-02-11T13:55:00.000000,""
Helix,30,529.85,,2024-03-12,2025-03-12T14:02:00.000000,upsell candidate
Iota,37,547.2,true,2024-04-13,2025-01-13T15:09:00.000000,new
Acme,7,564.55,false,2024-05-14,2025-02-14T16:16:00.000000,
Beta,14,581.9,,2024-06-15,2025-03-15T17:23:00.000000,follow-up
Gamma,21,201.3,true,2024-07-16,2025-01-16T18:30:00.000000,priority
Delta,28,218.65,false,2024-08-17,2025-02-17T19:37:00.000000,""
Echo,35,236.0,,2024-09-18,2025-03-18T20:44:00.000000,upsell candidate
Foxtrot,5,253.35,true,2024-10-19,2025-01-19T21:51:00.000000,new
Helix,12,270.7,false,2024-11-20,2025-02-20T22:58:00.000000,
Iota,19,289.15,,2024-12-21,2025-03-21T23:05:00.000000,follow-up
Acme,26,306.5,true,2024-01-22,2025-01-22T00:12:00.000000,priority
Beta,33,323.85,false,2024-02-23,2025-02-23T01:19:00.000000,""
Gamma,3,341.2,,2024-03-24,2025-03-24T02:26:00.000000,upsell candidate
Delta,10,358.55,true,2024-04-25,2025-01-25T03:33:00.000000,new
Echo,17,377.0,false,2024-05-26,2025-02-26T04:40:00.000000,
Foxtrot,24,394.35,,2024-06-27,2025-03-27T05:47:00.000000,follow-up
Helix,31,411.7,true,2024-07-01,2025-01-01T06:54:00.000000,priority
Iota,1,429.05,false,2024-08-02,2025-02-02T07:01:00.000000,""
Acme,8,446.4,,2024-09-03,2025-03-03T08:08:00.000000,upsell candidate
Beta,15,464.85,true,2024-10-04,2025-01-04T09:15:00.000000,new
Gamma,22,482.2,false,2024-11-05,2025-02-05T10:22:00.000000,
Delta,29,499.55,,2024-12-06,2025-03-06T11:29:00.000000,follow-up
Echo,36,516.9,true,2024-01-07,2025-01-07T12:36:00.000000,priority
Foxtrot,6,534.25,false,2024-02-08,2025-02-08T13:43:00.000000,""
Helix,13,552.7,,2024-03-09,2025-03-09T14:50:00.000000,upsell candidate
Iota,20,570.05,true,2024-04-10,2025-01-10T15:57:00.000000,new
Acme,27,587.4,false,2024-05-11,2025-02-11T16:04:00.000000,
Beta,34,205.7,,2024-06-12,2025-03-12T17:11:00.000000,follow-up
Gamma,4,223.05,true,2024-07-13,2025-01-13T18:18:00.000000,priority
Delta,11,241.5,false,2024-08-14,2025-02-14T19:25:00.000000,""
Echo,18,258.85,,2024-09-15,2025-03-15T20:32:00.000000,upsell candidate
Foxtrot,25,276.2,true,2024-10-16,2025-01-16T21:39:00.000000,new
Helix,32,293.55,false,2024-11-17,2025-02-17T22:46:00.000000,
Iota,2,310.9,,2024-12-18,2025-03-18T23:53:00.000000,follow-up
Acme,9,329.35,true,2024-01-19,2025-01-19T00:00:00.000000,priority
Beta,16,346.7,false,2024-02-20,2025-02-20T01:07:00.000000,""
Gamma,23,364.05,,2024-03-21,2025-03-21T02:14:00.000000,upsell candidate
Delta,30,381.4,true,2024-04-22,2025-01-22T03:21:00.000000,new
Echo,37,398.75,false,2024-05-23,2025-02-23T04:28:00.000000,
